CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,TELEFONO,_digits,_norm,CAUSA
22-07-0330-46,JUTIAPA,ATESCATEMPA,INSTITUTO PARTICULAR MIXTO DE CIENCIAS COMERCIALES,,,,Vacío
22-07-2198-46,JUTIAPA,ATESCATEMPA,LICEO ATESCATEMPA,,,,Vacío
22-12-2462-46,JUTIAPA,JALPATAGUA,COLEGIO EVANGELICO CRISTIANORIOS DE AGUA VIVA,,,,Vacío
22-14-2276-46,JUTIAPA,MOYUTA,INSTITUTO DIVERSIFICADO MUNICIPAL,,,,Vacío
22-16-0014-46,JUTIAPA,SAN JOSE ACATEMPA,COLEGIO PARTICULAR MIXTO DE DIVERSIFICADO EMANUEL,37097818
17-01-0172-46,PETEN,FLORES,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADO B0KOBA,41289778
17-05-0167-46,PETEN,LA LIBERTAD,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,59745424
17-09-0156-46,PETEN,SAN LUIS,COLEGIO MIXTO PRIVADO EBEN EZER,58945252
14-03-0027-46,QUICHE,CHINIQUE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,00000000,00000000,00000000,8 díg prefijo inválido
11-01-0126-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,42153318
11-01-0127-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,42153318
11-01-0140-46,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ DESARROLLO INTEGRADOR,,,,Vacío
11-01-0142-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,,,,Vacío
11-01-0159-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,,,,Vacío
11-01-1329-46,RETALHULEU,RETALHULEU,COLEGIO CIENTIFICO ALBERT EINSTEIN,,,,Vacío
11-02-1498-46,RETALHULEU,SAN SEBASTIAN,CENTRO EDUCACIONAL MARIA ALICIA GUTIERREZ,,,,Vacío
11-06-1470-46,RETALHULEU,SAN ANDRES VILLA SECA,COLEGIO CIENTIFICO INDUSTRIAL EL TRIUNFO,,,,Vacío
12-13-0032-46,SAN MARCOS,EL TUMBADOR,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
